name,name_hiragana,name_romaji,latitude,longitude,group_code,operator_name
田原,たはら,tahara,34.86549,134.86684,006399,北条鉄道
北条町,ほうじょうまち,houjoumachi,34.92914,134.83217,006238,北条鉄道
白井,しろい,shiroi,35.78475,140.05408,003135,北総鉄道
秋山,あきやま,akiyama,35.76544,139.93144,003206,北総鉄道
大町,おおまち,oomachi,35.77515,139.97334,003170,北総鉄道
小室,こむろ,komuro,35.78704,140.07606,003129,北総鉄道
印旛日本医大,いんばにほんいだい,innbanihonnidai,35.78782,140.20276,003125,北総鉄道
印西牧の原,いんざいまきのはら,innzaimakinohara,35.80363,140.16713,003083,北総鉄道
千葉ニュータウン中央,ちばにゅーたうんちゅうおう,chibanyu-taunnchuuou,35.80022,140.11626,003090,北総鉄道
松飛台,まつひだい,matsuhidai,35.77533,139.95757,003169,北総鉄道
西白井,にししろい,nishishiroi,35.78444,140.03175,003137,北総鉄道
北国分,きたこくぶん,kitakokubunn,35.76286,139.91422,003213,北総鉄道
新柴又,しんしばまた,shinshibamata,35.75135,139.87982,003244,北総鉄道
矢切,やぎり,yagiri,35.75751,139.90056,003229,北総鉄道
緑地公園,りょくちこうえん,ryokuchikouen,34.77482,135.49528,006728,北大阪急行電鉄
桃山台,ももやまだい,momoyamadai,34.79329,135.49719,006664,北大阪急行電鉄
千里中央,せんりちゅうおう,senrichuuou,34.81032,135.49518,006587,北大阪急行電鉄
四十万,しじま,shijima,36.49884,136.61574,002181,北陸鉄道
鶴来,つるぎ,tsurugi,36.45219,136.62383,002217,北陸鉄道
日御子,ひのみこ,hinomiko,36.46464,136.61514,002208,北陸鉄道
額住宅前,ぬかじゅうたくまえ,nukajuutakumae,36.51853,136.61885,002166,北陸鉄道
西泉,にしいずみ,nishiizumi,36.55339,136.63337,002123,北陸鉄道
野々市,ののいち,nonoichi,36.53583,136.62088,002146,北陸鉄道
馬替,まがえ,magae,36.52276,136.62051,002162,北陸鉄道
新西金沢,しんにしかなざわ,shinnishikanazawa,36.55307,136.62274,002125,北陸鉄道
井口,いのくち,inokuchi,36.47633,136.6123,002197,北陸鉄道
押野,おしの,oshino,36.54232,136.62205,002138,北陸鉄道
野々市工大前,ののいちこうだいまえ,nonoichikoudaimae,36.53265,136.62177,002151,北陸鉄道
乙丸,おとまる,otomaru,36.51185,136.61765,002172,北陸鉄道
野町,のまち,nomachi,36.5537,136.64418,002122,北陸鉄道
道法寺,どうほうじ,douhouji,36.48426,136.61354,002194,北陸鉄道
小柳,こやなぎ,koyanagi,36.47067,136.61144,002202,北陸鉄道
曽谷,そだに,sodani,36.49001,136.61445,002190,北陸鉄道
磯部,いそべ,isobe,36.59648,136.6485,002073,北陸鉄道
七ツ屋,ななつや,nanatsuya,36.58351,136.65164,002083,北陸鉄道
三口,みくち,mikuchi,36.60638,136.64754,002068,北陸鉄道
蚊爪,かがつめ,kagatsume,36.62519,136.64309,002051,北陸鉄道
三ツ屋,みつや,mitsuya,36.6116,136.64534,002062,北陸鉄道
上諸江,かみもろえ,kamimoroe,36.59101,136.64908,002078,北陸鉄道
北間,きたま,kitama,36.6229,136.6411,002053,北陸鉄道
大河端,おこばた,okobata,36.61684,136.64298,002059,北陸鉄道
