uuid,name,name_hiragana,name_romaji,latitude,longitude,group_code,operator_uuid
bb589868-a210-48d5-8b47-edfb6bc1cc34,御堂,みどう,midou,40.00436,141.23705,000727,39c43f95-a917-4b98-abc8-91d421ba0166
7dbdb90b-b53b-4f9c-8087-00999202503d,二戸,にのへ,ninohe,40.2598,141.28579,000668,39c43f95-a917-4b98-abc8-91d421ba0166
de7e4621-42c1-4276-ba89-b26e83a00b95,小鳥谷,こずや,kozuya,40.17112,141.30774,000698,39c43f95-a917-4b98-abc8-91d421ba0166
3916d432-b02e-4eff-87c0-0d58098da779,渋民,しぶたみ,shibutami,39.83475,141.15423,000764,39c43f95-a917-4b98-abc8-91d421ba0166
b19d813b-dd99-446e-b7f8-d814c116f499,斗米,とまい,tomai,40.28561,141.29091,000662,39c43f95-a917-4b98-abc8-91d421ba0166
4941ca81-03c4-425f-abb0-6e8f835dbb70,いわて沼宮内,いわてぬまくない,iwatenumakunai,39.9606,141.21725,000733,39c43f95-a917-4b98-abc8-91d421ba0166
e60cbcee-33c2-4fb6-885f-fc4780badb9f,厨川,くりやがわ,kuriyagawa,39.74408,141.12886,000776,39c43f95-a917-4b98-abc8-91d421ba0166
1a5db279-55e1-4a12-9192-4810362fcf60,岩手川口,いわてかわぐち,iwatekawaguchi,39.91931,141.19937,000743,39c43f95-a917-4b98-abc8-91d421ba0166
ff804ef2-9f5e-43e1-8124-09c6856e458d,一戸,いちのへ,ichinohe,40.21037,141.29739,000686,39c43f95-a917-4b98-abc8-91d421ba0166
9a63522e-1901-46ff-966d-6d0c820ae403,金田一温泉,きんたいちおんせん,kinntaichionnsenn,40.3231,141.30383,000657,39c43f95-a917-4b98-abc8-91d421ba0166
bce3c0b3-ccb6-45b5-b18c-31a445d9cedc,滝沢,たきざわ,takizawa,39.799,141.14956,000770,39c43f95-a917-4b98-abc8-91d421ba0166
62a7d679-aed2-4411-9e38-b60f1c1cc052,小繋,こつなぎ,kotsunagi,40.12311,141.26042,000707,39c43f95-a917-4b98-abc8-91d421ba0166
84be1f61-f48a-43ab-aa1a-946ed66a4d8c,奥中山高原,おくなかやまこうげん,okunakayamakougenn,40.06616,141.2285,000718,39c43f95-a917-4b98-abc8-91d421ba0166
7765d40e-b003-4650-948c-d7f7db51134c,目時,めとき,metoki,40.35205,141.28958,000651,39c43f95-a917-4b98-abc8-91d421ba0166
ad9e316e-559b-42bf-908a-3eb5f5a52ae6,好摩,こうま,kouma,39.87416,141.17368,000757,39c43f95-a917-4b98-abc8-91d421ba0166
cca46490-2829-46de-b406-0559a359fb74,青山,あおやま,aoyama,39.72465,141.1183,000782,39c43f95-a917-4b98-abc8-91d421ba0166
e9a6ab84-d313-47ae-b354-75aaf36979de,巣子,すご,sugo,39.78343,141.14865,000771,39c43f95-a917-4b98-abc8-91d421ba0166
72f37177-3cff-4e49-93be-3fa1850cf3b5,上総中野,かずさなかの,kazusanakano,35.25004,140.1996,005238,71c6767b-9175-46b1-8ed4-7de989e2d164
7d1c5961-613d-4ebc-88dc-46720488b742,大多喜,おおたき,ootaki,35.28654,140.24384,005145,71c6767b-9175-46b1-8ed4-7de989e2d164
5c5eea16-5c68-4283-988d-b9677850c378,東総元,ひがしふさもと,higashifusamoto,35.25945,140.24763,005207,71c6767b-9175-46b1-8ed4-7de989e2d164
3eaf768e-d254-4ef9-8794-f3074091530a,上総中川,かずさなかがわ,kazusanakagawa,35.28271,140.28056,005154,71c6767b-9175-46b1-8ed4-7de989e2d164
a9f8cfb3-f0bc-4c3d-a102-9370c879f7f3,国吉,くによし,kuniyoshi,35.28043,140.31399,005160,71c6767b-9175-46b1-8ed4-7de989e2d164
8d039b95-ca16-477d-8315-af1d9a95461b,久我原,くがはら,kugahara,35.25022,140.24767,005236,71c6767b-9175-46b1-8ed4-7de989e2d164
40e8f3ad-addf-42e2-b1bc-de1970a2f517,上総東,かずさあずま,kazusaazuma,35.26329,140.34491,005198,71c6767b-9175-46b1-8ed4-7de989e2d164
64e89517-dd4b-4c25-961f-f1b1b1bc5f8f,西畑,にしはた,nishihata,35.25053,140.21518,005233,71c6767b-9175-46b1-8ed4-7de989e2d164
f3d4ff64-739d-4762-8bb5-2ef0d45580f2,小谷松,こやまつ,koyamatsu,35.26898,140.25104,005182,71c6767b-9175-46b1-8ed4-7de989e2d164
3b7785cc-23ae-4572-a2b5-b3f41d5e470a,総元,ふさもと,fusamoto,35.24057,140.24036,005257,71c6767b-9175-46b1-8ed4-7de989e2d164
3c348fdc-900f-4b5a-aa02-cd6336154976,西大原,にしおおはら,nishioohara,35.26052,140.37798,005204,71c6767b-9175-46b1-8ed4-7de989e2d164
66eaf3c2-00c5-4086-b741-bc6467e64dec,新田野,にったの,nittano,35.27599,140.32853,005169,71c6767b-9175-46b1-8ed4-7de989e2d164
8ac2abea-6ca3-4bdc-b60a-0977611b80ac,大原,おおはら,oohara,35.25085,140.39103,005229,71c6767b-9175-46b1-8ed4-7de989e2d164
a788b64c-2baf-4050-a817-320f29ef4908,西長田ゆりの里,にしながたゆりのさと,nishinagatayurinosato,36.15359,136.2065,002575,23a8c66d-9ab2-474f-80c6-7ee34f723acb
db098f54-da76-4809-8eba-fa22a93b8ed4,鷲塚針原,わしづかはりばら,washidukaharibara,36.12024,136.20481,002609,23a8c66d-9ab2-474f-80c6-7ee34f723acb
2bace6f1-7abd-42dd-b27f-c2426c60a739,西別院,にしべついん,nishibetsuinn,36.07526,136.22299,002668,23a8c66d-9ab2-474f-80c6-7ee34f723acb
ade35184-afeb-4dea-ac12-464ebf4e5ca3,中角,なかつの,nakatsuno,36.10112,136.20445,002630,23a8c66d-9ab2-474f-80c6-7ee34f723acb
dd2e7a32-d0d5-4042-ad1e-af3a706d37f8,新田塚,にったづか,nittaduka,36.09258,136.20528,002638,23a8c66d-9ab2-474f-80c6-7ee34f723acb
7ae2eb41-c46d-430f-ac4e-a9dc993e2add,番田,ばんでん,banndenn,36.21253,136.20252,002533,23a8c66d-9ab2-474f-80c6-7ee34f723acb
3baea533-2c93-4427-abba-c3f2b68620ae,福井口,ふくいぐち,fukuiguchi,36.0715,136.2334,002677,23a8c66d-9ab2-474f-80c6-7ee34f723acb
fd9bfd7f-9850-47bc-9a84-cde1933509e3,三国,みくに,mikuni,36.21692,136.14995,002526,23a8c66d-9ab2-474f-80c6-7ee34f723acb
3906be27-ea7e-4346-98a2-9c5f0cbc3653,太郎丸エンゼルランド,たろうまるえんぜるらんど,taroumaruennzeruranndo,36.13134,136.20569,002599,23a8c66d-9ab2-474f-80c6-7ee34f723acb
08c0b585-bc75-4782-b7c6-ac4245ed9c19,福大前西福井,ふくだいまえにしふくい,fukudaimaenishifukui,36.07441,136.21013,002671,23a8c66d-9ab2-474f-80c6-7ee34f723acb
637c9a02-69a3-42b4-b34e-52618adefd54,大関,おおぜき,oozeki,36.18663,136.20378,002556,23a8c66d-9ab2-474f-80c6-7ee34f723acb
