uuid,name,alias_name
052ac039-dfac-47b3-96a9-b46154299c64,多摩都市モノレール,多摩都市モノレール
2327ec2d-9c8b-4f0f-88f4-0fd0978deefa,大井川鐵道,大井川鐵道
4a5114a1-550a-4d83-a681-55ccc7b9ce5d,大阪モノレール,大阪モノレール
85afc7ab-13a4-4097-b65a-0eaa424cce1a,大阪市高速電気軌道,Osaka Metro
8936b5fd-a4d9-4dcf-a535-c59bcd03660d,泉北高速鉄道,泉北高速鉄道
02a2a141-d58d-4914-901a-fc107762e291,大山観光電鉄,大山観光電鉄
fb1c329e-aff1-4de8-8e7d-e9c956c7cacd,樽見鉄道,樽見鉄道
e222a9b7-d1d2-4eee-a2d2-ec83575b7e9e,丹後海陸交通,丹後海陸交通
f1ddefd0-0d97-46d2-b9d7-a94f7bc8c685,智頭急行,智頭急行
3a961f1b-5731-45b7-aabc-186d6752556d,筑波観光鉄道,筑波観光鉄道
e0ef657e-3fa2-472a-b393-6d40ed9e0863,筑豊電気鉄道,筑豊電気鉄道
e503a1b2-e119-4123-a609-b4382d0b6735,秩父鉄道,秩父鉄道
2c45a72e-c3c3-4aa9-b1c6-4ded67ff0357,銚子電気鉄道,銚子電気鉄道
1e48ef10-7283-4f8f-8f12-a3a90ad187a6,長崎電気軌道,長崎電気軌道
18b02e8b-30c9-4858-b1da-7f5a116623cf,長野電鉄,長野電鉄
bc85d78d-9a46-4c1c-975b-1914502cb9cd,長良川鉄道,長良川鉄道
62ff1608-b927-45cb-8f03-6378d6573c26,津軽鉄道,津軽鉄道
ede8d640-3c27-4d4c-a86c-e53e13742551,天竜浜名湖鉄道,天竜浜名湖鉄道
ef5ab6a5-ac79-4201-a05b-c8a42885fcbb,土佐くろしお鉄道,土佐くろしお鉄道
9d33f7f2-dbc5-4461-98e4-f5dea6b479b1,とさでん交通,とさでん交通
6fd4c2e6-db20-4fa9-a6af-8c3cd625274e,島原鉄道,島原鉄道
8ceb1a4a-a9a8-4645-bee4-6c9f8edbfd89,東海交通事業,東海交通事業
e046fc2d-f50c-42a5-a7b7-341a882e05b3,東海旅客鉄道,JR東海
93b6a77e-ff74-4a78-8657-2a551953d962,東京モノレール,東京モノレール
e2987dc5-c5bf-4810-8b7b-8492af38d48e,東急電鉄,東急電鉄
aa6dde5f-afb8-45e6-a2fe-8415ea4a5830,東京地下鉄,東京地下鉄
5d977f84-fd23-45c5-97e1-c943d8ae6175,東京都,東京メトロ
dd3c5ead-ad06-455b-a81b-b01a62c0fa37,東京臨海高速鉄道,東京臨海高速鉄道
eb9bfe1e-ebc8-4308-a961-2d68d238279a,東日本旅客鉄道,JR東日本
da6a6936-65f3-4443-a090-d7cc95d2a563,東武鉄道,東武鉄道
858cb4f4-6d0a-489e-b62d-f3cb2fd451b4,東葉高速鉄道,東葉高速鉄道
